Title,Author,Recommended,Language,Comments
The Witcher 4: The Time of Contempt,Andrzej Sapkowski,Yes,English,"I was very close to giving this a ""maybe"" instead of a yes. The beginning especially was quite boring. For example the focus on some random character at the start that didnt matter. Also a much bigger focus on Yennefer, whom I consider an annoying character. I think the whole series would have been much better off had she died in the first or second book. The parts about Ciri are somewhat more entertainable but I still would have prefered the story to only center around Gerald. In particular because Ciri has even more obvious plot armor than Gerald. She is young and weak and yet survives everything. Andrzej Sapkowski does do some interesting meta things when writing. Especially when 2 characters are having a conversation with one another. It's a mixed bag though and some of the things feel a bit overused like one guy telling a story and the other guy then saying: ""go on"". In this book the politics are more important compared to to the previous books and the monster hunting is almost completely left behind. It's refreshing for the story but I do feel like the author isn't as good of a politcs story writer as he is a monster hunter writer. "
Story of the Siren,E.M. Forster,No,English,Bullshit story
The Dance,D H Lawrence,No,English,Not interesting to me
The Killers,Ernest Hemingway,No,English,I am really failing to see the point of this story. Nothing happened.
The Lady with the Dog,Anton Chekhov,No,English,Boring love story. I understand the appeal comes from the many faces people have and the difference between real love and temporary lust but it's just not my cup of tea.
THE THREE FAT WOMEN FROM ANTIBES,Somerset Maugham,Absolutely!,English,"""Human nature is weak, and you must not ask too much of it"" well put. Funny and unique story. Really cool perspective that isn't talked about that much in books. At least, not the books that I normally read"
Her Turn,D H Lawrence,No,English,Pointless and boring
APPEARANCE AND REALITY,Somerset Maugham,Yes,English,"Decent story of love, betrayel, reconciliation and also just pragmatic choices"
 Bible - Ecclesiastes,God,No,English,"All is vanity. ""let thou words be few. a fools voice is known by a multitude of words"" like the Bible?"
The Grave by the Handpost,Thomas Hardy,maybe,English,"Decent story about fate and accidents, misfortune."
The Sisters,James Joyce,No,English,Boring
The Gale Across the Moors,R.T. Leader,Yes,English,Fun dark little destopian story
青蛙王子,Unknown,Mabye,English,Read it for language learning purposes 
The Other Side of the Hedge,E M Forster,Yes,English,Decent because it's short but not super special
THE FALL OF EDWARD BARNARD,Somerset Maugham,Absolutely!,English,Great story about the choices we make in life and how some of us change drastically
THE LOCKET,Kate Chopin,Maybe,English,Had more potential
A WINTER COURTSHIP,Sarah O Jewett,No,English,Not my cup of tea. Interesting accents although difficult to understant.
DESIREE'S BABY,Kate Chopin,Maybe,English,The name gave the plot away but even without it not really my thing
The Imp and the Crust,Leo Tolstoy,Absolutely!,English,Fantastic short story! Very creative and with interesting insights into the human heart
THE DUKE'S REAPPEARANCE,,,,Lenard is apparently a woman's name in certain parts
BY THE MORNING BOAT,Sarah O Jewett,Yes,English,Interesting focus point of a story. I could feel the mixed emotion of excitment and sadness.
THE FOUR DUTCHMEN,Somerset Maugham,Maybe,English,Decent but nothing special
THE MOTHER,Somerset Maugham,Yes,English,Super interesting! Passion
Barbarenzaken,Philip Droge,Absolutely!,Dutch,Historical mini novel with some interesting perspectives. Funnily enough they mentioned the governments in Europe being quick whereas the Chinese government was slow. Nowadays the reverse is considered true by most people. Also some interesting perspectives on racism. Quite a lot of info for such a short book.  
A BRAVE BOY,C S Sleight,No,English,Mini children's story. 
Zwerkbal door de eeuwen heen / Quidditch Through the Ages,J K Rowling,Yes,English,Pretty funny little book
The Sentimentality of William Tavener,Willa Cather,Yes,English,Interesting and unique
Hills like White Elephants,Ernest Hemingway,Maybe,English,The metaphor is alright but the story is still kinda meh
Cat in the Rain,Ernest Hemingway,No,English,Not really sure what the point was
A DEATH IN THE DESERT,Willa Cather,Yes,English,Gaylord is a real name? Anyway I like the themes in this book but not so much the story telling
The Picture of Dorian,Oscar Wild,Absolutely!,English,"""The ugly and stupid have the best of it in this world. They can sit at their ease and gape at the play.  If they know nothing of victory, they are at least spared the knowledge of defeat."" ""The only things one never regrets, are ones mistakes"" A truly fascinating book. I particulary like lord Henry. It's as if he wants to sell you every bad thing life has to offer, all the while persuading you it's for the best. A mix between Cartmen from South Park and Marcus Aurelius. An intense book filled with interesting perspectives even when I disagree with them. ""It often happens that the real tragedies of life occur in such an inartistic manner, that they hurt us by their crude violence, their absolute incoherence, their absurd want of meaning, their entire lack of style. They affect just as vulgarity affects us, they give an impression of shear brute force, and we revolt against that."" I do feel like the later parts of the book are not as good. I would have preferd it  if the book stopped at chapter 8."
THE CIRCUS AT DENBY,Sarah O Jewett,No,English,Not really sure what the point was
The wheel of time: The Dragon Reborn,Robert Jordan,Maybe,English,"Decent but like the other books in the series, it has a lot of flaws. The main characters (Rand in particular but also the others) keep doubting and not making a choice. There are some other annoying things like the authors tendency to keep repeating the word Aes Sedai, most characters being angry for no reason etc. The world is interesting but the characters are kinda dull. Mat is the only interesting one. "
"THE TROLL GARDEN, Flavia and Her Artists",Willa Cather,No,English,I really don't give a fuck about this kind of story
